AreaCode,borough,Bus2001,Rel2001,Acc2001,Age2001,Eth2001,Hou2001,Soc2001,Ten2001,Bus2011,Rel2011,Acc2011,Age2011,Eth2011,Hou2011,Soc2011,Ten2011,AccCh,AgeCh,EthCh,HouCh,SocCh,TenCh,BusCh,RelCh,AvgR2001,Avg2001,AvgR2011,Avg2011,AvgCh,AvgRCh
E09000031,Waltham Forest,25,7,16,15,5,6,3,14,22,7,4,18,3,12,4,14,-12,3,-2,6,1,0,-3,0,3,11.375,1,10.5,-0.875,-2
E09000003,Barnet,8,4,2,6,19,10,19,21,8,4,8,5,14,7,16,25,6,-1,-5,-3,-3,4,1,0,2,11.125,2,10.875,-0.25,0
E09000005,Brent,28,3,4,17,1,2,2,9,27,3,5,22,2,15,3,12,1,5,1,13,1,3,-1,0,1,8.25,3,11.125,2.875,2
E09000009,Ealing,30,2,7,18,9,14,6,19,30,2,3,15,7,16,6,15,-4,-3,-2,2,0,-4,0,0,6,13.125,4,11.75,-1.375,-2
E09000015,Harrow,5,11,18,14,10,7,13,26,4,11,15,10,11,6,13,27,-3,-4,1,-1,0,1,-1,0,5,13,5,12.125,-0.875,0
E09000010,Enfield,29,18,22,3,14,3,4,23,24,18,19,9,8,3,2,17,-3,6,-6,0,-2,-6,-5,0,11,14.5,6,12.5,-2,-5
E09000008,Croydon,7,21,8,20,13,23,18,22,6,21,11,17,10,9,9,21,3,-3,-3,-14,-9,-1,-1,0,16,16.5,7,13,-3.5,-9
E09000014,Haringey,24,16,3,33,4,13,7,2,20,16,2,28,4,21,12,4,-1,-5,0,8,5,2,-4,0,4,12.75,8,13.375,0.625,4
E09000024,Merton,14,9,9,8,23,12,16,25,14,9,14,13,15,10,10,22,5,5,-8,-2,-6,-3,0,0,11,14.5,8,13.375,-1.125,-3
E09000023,Lewisham,13,27,6,16,16,8,10,11,10,27,6,19,12,18,15,3,0,3,-4,10,5,-8,-3,0,7,13.375,10,13.75,0.375,3
E09000025,Newham,27,5,27,28,2,18,1,6,21,5,9,31,1,26,11,6,-18,3,-1,8,10,0,-6,0,9,14.25,10,13.75,-0.5,1
E09000026,Redbridge,10,12,24,5,8,9,14,28,12,12,17,12,5,11,14,28,-7,7,-3,2,0,0,2,0,8,13.75,12,13.875,0.125,4
E09000017,Hillingdon,19,33,12,7,26,5,17,24,17,33,12,8,19,4,8,13,0,1,-7,-1,-9,-11,-2,0,20,17.875,13,14.25,-3.625,-7
E09000018,Hounslow,20,19,11,21,15,4,9,18,16,19,18,16,23,8,5,10,7,-5,8,4,-4,-8,-4,0,13,14.625,14,14.375,-0.25,1
E09000012,Hackney,17,6,14,31,3,28,11,4,5,6,20,30,6,30,22,5,6,-1,3,2,11,1,-13,0,9,14.25,15,15.5,1.25,6
E09000022,Lambeth,6,26,10,29,6,25,12,8,2,26,10,24,9,24,25,7,0,-5,3,-1,13,-1,-4,0,14,15.25,16,15.875,0.625,2
E09000002,Barking and Dagenham,32,22,31,1,25,1,15,29,31,22,31,3,20,1,1,18,0,2,-5,0,-14,-11,-1,0,23,19.5,16,15.875,-3.625,-7
E09000021,Kingston upon Thames,4,20,5,10,27,19,30,27,3,20,7,11,27,14,26,29,2,1,0,-5,-4,2,-1,0,18,17.75,18,17.125,-0.625,0
E09000027,Richmond upon Thames,1,30,1,11,27,20,33,20,1,30,1,6,27,20,30,26,0,-5,0,0,-3,6,0,0,20,17.875,19,17.625,-0.25,-1
E09000013,Hammersmith and Fulham,2,23,19,27,20,26,24,1,11,23,21,26,18,25,24,2,2,-1,-2,-1,0,1,10,0,18,17.75,20,18.75,1,2
E09000011,Greenwich,23,31,23,12,24,11,8,16,19,31,25,14,25,13,7,16,2,2,1,2,-1,0,-4,0,22,18.5,20,18.75,0.25,-2
E09000016,Havering,16,29,25,2,27,15,32,33,18,29,26,1,27,2,19,31,1,-1,0,-13,-13,-2,2,0,30,22.375,22,19.125,-3.25,-8
E09000028,Southwark,12,17,20,25,11,16,5,17,15,17,24,27,16,28,21,9,4,2,5,12,16,-8,3,0,15,15.375,23,19.625,4.25,8
E09000032,Wandsworth,9,13,13,26,21,24,23,12,7,13,16,25,21,27,29,20,3,-1,0,3,6,8,-2,0,17,17.625,24,19.75,2.125,7
E09000006,Bromley,3,32,15,4,27,22,31,32,9,32,13,4,27,17,23,33,-2,0,0,-5,-8,1,7,0,29,20.75,24,19.75,-1,-5
E09000007,Camden,21,10,29,24,12,32,28,5,25,10,23,20,17,22,31,11,-6,-4,5,-10,3,6,4,0,27,20.125,26,19.875,-0.25,-1
E09000029,Sutton,11,25,17,13,27,27,29,30,13,25,22,7,27,19,18,30,5,-6,0,-8,-11,0,2,0,30,22.375,27,20.125,-2.25,-3
E09000004,Bexley,26,24,26,9,27,17,27,31,29,24,29,2,27,5,17,32,3,-7,0,-12,-10,1,3,0,30,23.375,28,20.625,-2.75,-2
E09000033,Westminster,31,8,30,22,7,28,26,7,32,8,30,21,13,23,28,19,0,-1,6,-5,2,12,1,0,24,19.875,29,21.75,1.875,5
E09000030,Tower Hamlets,18,1,31,32,22,21,22,14,28,1,32,32,26,32,20,8,1,0,4,11,-2,-6,10,0,27,20.125,30,22.375,2.25,3
E09000019,Islington,15,15,28,30,18,30,20,3,26,15,28,29,24,29,32,1,0,-1,6,-1,12,-2,11,0,24,19.875,31,23,3.125,7
E09000020,Kensington and Chelsea,22,14,21,19,17,31,25,10,23,14,27,23,22,31,27,23,6,4,5,0,2,13,1,0,24,19.875,32,23.75,3.875,8
E09000001,City of London,33,28,31,23,27,33,21,13,33,28,33,32,27,33,33,24,2,9,0,0,12,11,0,0,33,26.125,33,30.375,4.25,0
